question,selected,diversity
非法微整形机构构成非法经营罪吗,"非法微整形机构是否构成非法经营罪？, 非法从事微整形服务是否能构成非法经营罪？, 从事非法微整形服务是否会涉及非法经营罪？, 微整形机构未经许可从事服务是否会触犯非法经营罪的相关规定？, 未经许可从事微整形项目会构成非法经营罪吗？",6.557180792093277
入室持刀行凶伤人能不能判刑,"入室持刀伤人会被判刑吗？, 入室伤人持刀是否会判刑？, 入室暴力伤人持刀会怎么判刑？, 持刀伤人入室行为会怎么判刑？, 入室行凶伤人持刀会受到怎样的刑罚？",6.882711410522461
我在辅道正常右转进主道，主道有两个车，后面的车占用对向车道超车，撞了是谁的责任,"在辅道右转进入主道时，如果主道上有两辆车，后面的车占用对向车道超车并发生碰撞，应该由谁负责？, 如果辅道正常右转进入主道，后面的车占用对向车道超车并发生碰撞，应该由谁负责赔偿？, 如果在辅道正常右转进入主道时，后面的车越过对向车道超车并发生碰撞，责任该由谁负担？, 辅道正常右转进入主道时，后面的车辆因为占用对向车道发生超车碰撞，责任由谁负担？, 辅道右转进入主道时，后面的车辆因占用对向车道超车发生碰撞，这种情况下谁应承担责任？",7.867701590061188
对交通事故责任认定书不服怎么办，交通事故损,"如果我对交通事故责任认定书有异议，应该怎么办？, 如果对交通事故责任认定有异议，应该去哪里复议？, 如果我对交通事故责任认定不服，复议时需要注意什么？, 如果对交通事故责任认定书的内容不满，复议要在多少天内进行？, 对交通事故责任认定书不服，复议时需要提供什么材料？",6.142129719257355
二审一般要多久,"二审一般需要多久才能审结？, 二审案件一般多久可以结束？, 二审的审理一般在多长时间内完成？, 二审立案后，审理时间一般为多长？, 二审立案后是否一定要在三个月内审结？",5.112867712974548
欠钱没有欠条有录音能起诉吗,"如果没有欠条，但有录音证据能起诉吗？, 如果欠款没有欠条，但有录音证明，可以提起诉讼吗？, 如果没有欠条，且有录音和其他证据，能否立案？, 没有书面欠条，但有合法的录音，可以用于诉讼吗？, 没有书面欠条，录音能作为证据起诉吗？",6.132634878158569
帮助别人套花呗违法吗,"用花呗套现收取手续费是否合法？, 花呗套现过程中收取手续费是否合法？, 通过花呗套现收取手续费是否属于非法行为？, 在花呗套现过程中收取费用是否违法？, 花呗套现并收取手续费的行为是否触犯法律？",6.9211745262146
因工作被三处烫伤，伤为三级烫伤，三处都需要植皮，鉴定能达到几级？,"我因工作受伤，三处烫伤为三级烫伤，植皮治疗后，能评定为几级伤残？, 我因工作受伤，三级烫伤并需植皮治疗，能评定为几级伤残？, 我在工作中被三处三级烫伤，需要植皮，伤残评定是几级？, 如果因工作被烫伤到三级，且需要植皮治疗，伤残评定是多少级？, 如果工作中遭遇三级烫伤并且需要植皮，伤残等级会评定为几级？",6.813047885894775
从合伙经营公司撤资，只给欠条有用吗,"从合伙公司撤资后，欠条是否有效？, 合伙人撤资后，欠条是否能够被法院认可为有效凭证？, 在合伙关系解除后，欠条是否能够作为有效的债权文件？, 合伙关系解除后，欠条能否作为有效的债权凭证？, 合伙关系解除后，欠条能否作为清算时的债权证明？",6.155162751674652
事故中我摩托车付次要责任，自行车付主要责任，我怎赔他医药费,"如果我在摩托车事故中负次要责任，自行车方负主要责任，我需要赔偿他多少医药费？, 如果我在摩托车事故中负次要责任，交强险如何支付他的医药费？我自己该怎么赔偿？, 如果我摩托车在事故中负次要责任，且交强险可以覆盖医药费用，那我应该支付多少部分的医疗费？, 摩托车事故中，如果我承担次要责任，交强险赔付的医疗费用能涵盖多少，我如何分担剩余部分？, 如果我在事故中负次要责任，交强险的赔偿额度有限，我如何按比例支付超过额度的医疗费？",5.986979156732559
