question,selected,diversity
非法微整形机构构成非法经营罪吗,"非法微整形是否属于违法经营行为？, 违反法律规定从事微整形是否属于非法经营？, 非法开展微整形手术是否可以被视为非法经营？, 非法从事微整形的行为是否属于非法经营的范畴？, 非法从事微整形服务是否能构成非法经营罪？, 非法经营微整形业务会触犯非法经营罪吗？, 做非法微整形的机构会被认定为非法经营罪吗？, 微整形机构未经许可从事服务是否会触犯非法经营罪的相关规定？, 未经许可从事微整形项目会构成非法经营罪吗？, 非法经营微整形项目的机构是否面临非法经营罪的惩罚？",26.045196622610092
入室持刀行凶伤人能不能判刑,"入室伤人并持刀，能否判刑？, 入室持刀造成他人伤害的刑罚是什么？, 造成他人伤害的入室持刀行为会判几年？, 持刀行凶入室致伤会面临什么刑罚？, 入室行凶致伤能判多久刑期？, 入室持刀伤人会被判刑吗？, 持刀伤人入室行为会怎么判刑？, 持刀入室伤人要怎么处罚？, 入室伤人持刀是否会判刑？, 以持刀方式入室伤人会被判多长时间？",27.11016806960106
我在辅道正常右转进主道，主道有两个车，后面的车占用对向车道超车，撞了是谁的责任,"在辅道右转进入主道时，后面车辆越过对向车道并发生交通事故，责任如何判定？, 如果辅道正常右转进入主道，后面的车占用对向车道超车并发生碰撞，应该由谁负责赔偿？, 主道上有两辆车，后面的车占用对向车道超车撞到前车，责任应该归谁？, 在辅道右转进入主道过程中，如果后方车辆占用对向车道超车造成事故，责任由谁承担？, 主道上两车并行，后方车辆超车进入对向车道发生碰撞，责任该如何划定？, 如果在辅道正常右转进入主道时，后面的车越过对向车道超车并发生碰撞，责任该由谁负担？, 如果在辅道右转进入主道时，后面车占对向车道超车并与前车发生碰撞，责任归谁？, 辅道正常右转进入主道时，后面的车辆因为占用对向车道发生超车碰撞，责任由谁负担？, 在辅道右转进入主道时，后方车辆在对向车道超车发生事故，谁的责任较大？, 如果在辅道右转进入主道时发生交通事故，后面车辆占道超车撞击了前车，责任该如何划分？",30.138163924217224
对交通事故责任认定书不服怎么办，交通事故损,"交通事故认定书发下来了，我不认同，如何向上级申诉？, 如果我对交通事故责任认定不服，复议时需要注意什么？, 如何对交通事故责任认定书进行复议？, 如果对交通事故责任认定有异议，应该去哪里复议？, 对交通事故责任认定书不服，复议时需要提供什么材料？, 交通事故责任认定书让我不满意，如何申请上级复议？, 如果不服交通事故认定书，能做什么？, 我对交通事故认定书中的责任划分不满意，如何进行复议？, 如果对交通事故责任认定书的内容不满，复议要在多少天内进行？, 交通事故责任认定书不合理，我该如何申请复议？",25.381502598524094
二审一般要多久,"如何理解《民事诉讼法》对二审审限的规定？, 二审案件的审理时间是否有特殊情况可以延长？, 二审裁定的上诉案件审理时间有限制吗？, 二审案件一般多久可以结束？, 如果特殊情况出现，二审的审限如何延长？, 民事诉讼法中规定了二审的审限是怎样的？, 关于二审的审限，《民事诉讼法》做出了哪些要求？, 什么时候二审案件的审理可以超过三个月？, 二审审结的时间是否能根据具体情况进行调整？, 二审一般需要多久才能审结？",15.56265963613987
欠钱没有欠条有录音能起诉吗,"如果没有欠条，只有录音，能不能支持法院判决？, 仅凭录音是否足以支持诉讼，而没有欠条的情况下？, 没有欠条，录音能否作为法律诉讼的有效证据？, 没有欠条，录音能够作为起诉的凭证吗？, 没有书面欠条，录音能作为证据起诉吗？, 录音没有经过修改和剪辑，能作为有效证据吗？, 如果欠款没有欠条，但有录音证明，可以提起诉讼吗？, 如果没有欠条，且有录音和其他证据，能否立案？, 录音资料能够作为唯一证据在没有欠条的情况下起诉吗？, 没有欠条但有清晰录音，能否作为法院受理的依据？",21.953225523233414
帮助别人套花呗违法吗,"花呗套现服务收费是否合法？, 花呗套现时收取服务费用属于违法行为吗？, 通过花呗套现并收取费用会触犯什么法律？, 花呗套现过程中收取手续费是否合法？, 通过花呗套现收取手续费是否属于非法行为？, 收取手续费帮助他人通过花呗套现算不算犯罪？, 帮助他人花呗套现并从中收取费用是否合法？, 帮助别人套现花呗并收取手续费是违法的吗？, 花呗套现收取费用是否涉及违法犯罪？, 花呗套现并收取服务费算不算违法行为？",25.566805481910706
因工作被三处烫伤，伤为三级烫伤，三处都需要植皮，鉴定能达到几级？,"三级烫伤并需植皮治疗，伤残评定通常是几级？, 我在工作中被三处三级烫伤，需要植皮，伤残评定是几级？, 因工作烫伤三处，均为三级且需要植皮，这样的伤残等级是什么？, 如果因工作被烫伤到三级，且需要植皮治疗，伤残评定是多少级？, 伤为三级烫伤且需要植皮，伤残等级会评定为什么级别？, 我因工作受伤，三级烫伤并需植皮治疗，能评定为几级伤残？, 被三处三级烫伤并且需要植皮治疗，伤残鉴定等级应为几级？, 三级烫伤并且需要植皮，经过鉴定后会被评为什么等级的伤残？, 工作中被烫伤三处，均为三级烫伤并需要植皮，伤残等级会是多少？, 我工作时被烫伤三处，均为三级且需要植皮，伤残鉴定结果是多少？",27.08720424771309
从合伙经营公司撤资，只给欠条有用吗,"撤资后欠条算不算合法的债务凭证？, 撤资后，欠条是否能够确认债务并追索？, 合伙人撤资后，欠条是否能够继续追索债务？, 合伙关系解除后，欠条能否作为有效的债权凭证？, 合伙人退出后，欠条是否具有法律效力？, 如果合伙人撤资，欠条是否足够支持债权主张？, 解除合伙关系后，是否仅凭欠条能够主张债权？, 撤资后，欠条能否作为债务清算的依据？, 合伙人撤资后，欠条是否能够被法院认可为有效凭证？, 退出合伙关系后，欠条是否能够作为清算依据之一？",22.949930518865585
事故中我摩托车付次要责任，自行车付主要责任，我怎赔他医药费,"如果摩托车承担次要责任，交强险医疗费用额度内的部分我全额支付，剩余部分如何分担？, 如果我负次要责任，交强险支付的医疗费用会覆盖哪些部分，我还需要承担什么？, 在摩托车和自行车的碰撞事故中，我承担次要责任，交强险会如何处理医药费用？, 如果我在事故中负次要责任，交强险的赔偿额度有限，我如何按比例支付超过额度的医疗费？, 在这个事故中，摩托车负次要责任，交强险支付医药费后，我还需要赔偿他多少？, 事故中摩托车负次要责任，自行车负主要责任，我该如何分担医药费用，交强险如何赔偿？, 如果我摩托车在事故中负次要责任，且交强险可以覆盖医药费用，那我应该支付多少部分的医疗费？, 在摩托车事故中，如果交强险的医疗费额度足够，我需要支付哪些费用？, 交强险医疗费用已经支付的部分，我还需要负担多少责任来赔偿他方的医药费？, 在摩托车与自行车的交通事故中，我负次要责任，如何按照交强险的规定赔偿医药费？",24.64077788591385
